ID,Prob1
0, 0.57
1, 0.46
2, 0.34
3, 0.17
4, 0.35
5, 0.33
6, 0.37
7, 0.42
8, 0.29
9, 0.38
10, 0.48
11, 0.40
12, 0.33
13, 0.51
14, 0.41
15, 0.44
16, 0.34
17, 0.67
18, 0.27
19, 0.36
20, 0.52
21, 0.46
22, 0.40
23, 0.41
24, 0.38
25, 0.55
26, 0.46
27, 0.37
28, 0.31
29, 0.39
30, 0.49
31, 0.37
32, 0.42
33, 0.41
34, 0.53
35, 0.44
36, 0.41
37, 0.34
38, 0.44
39, 0.43
40, 0.29
41, 0.56
42, 0.37
43, 0.41
44, 0.49
45, 0.39
46, 0.48
47, 0.43
48, 0.59
49, 0.45
50, 0.41
51, 0.35
52, 0.65
53, 0.29
54, 0.37
55, 0.35
56, 0.32
57, 0.44
58, 0.43
59, 0.32
60, 0.38
61, 0.32
62, 0.48
63, 0.45
64, 0.39
65, 0.31
66, 0.50
67, 0.44
68, 0.33
69, 0.51
70, 0.29
71, 0.40
72, 0.36
73, 0.44
74, 0.63
75, 0.40
76, 0.38
77, 0.41
78, 0.46
79, 0.31
80, 0.31
81, 0.54
82, 0.49
83, 0.44
84, 0.45
85, 0.42
86, 0.41
87, 0.54
88, 0.37
89, 0.26
90, 0.34
91, 0.37
92, 0.52
93, 0.56
94, 0.46
95, 0.38
96, 0.24
97, 0.38
98, 0.51
99, 0.30
100, 0.59
101, 0.47
102, 0.31
103, 0.50
104, 0.31
105, 0.44
106, 0.43
107, 0.59
108, 0.42
109, 0.37
110, 0.35
111, 0.43
112, 0.72
113, 0.26
114, 0.38
115, 0.33
116, 0.32
117, 0.48
118, 0.36
119, 0.35
120, 0.49
121, 0.42
122, 0.36
123, 0.44
124, 0.21
125, 0.46
126, 0.50
127, 0.52
128, 0.59
129, 0.66
130, 0.31
131, 0.35
132, 0.39
133, 0.42
134, 0.54
135, 0.56
136, 0.42
137, 0.55
138, 0.20
139, 0.55
140, 0.38
141, 0.34
142, 0.62
143, 0.25
144, 0.53
145, 0.34
146, 0.54
147, 0.44
148, 0.36
149, 0.28
150, 0.50
151, 0.65
152, 0.36
153, 0.51
154, 0.35
155, 0.30
156, 0.45
157, 0.41
158, 0.41
159, 0.49
160, 0.50
161, 0.39
162, 0.41
163, 0.39
164, 0.64
165, 0.34
166, 0.38
167, 0.37
168, 0.45
169, 0.28
170, 0.48
171, 0.48
172, 0.40
173, 0.43
174, 0.43
175, 0.37
176, 0.56
177, 0.33
178, 0.38
179, 0.48
180, 0.58
181, 0.21
182, 0.42
183, 0.40
184, 0.35
185, 0.33
186, 0.47
187, 0.36
188, 0.45
189, 0.32
190, 0.36
191, 0.45
192, 0.46
193, 0.49
194, 0.49
195, 0.44
196, 0.49
197, 0.38
198, 0.47
199, 0.47
200, 0.27
201, 0.50
202, 0.26
203, 0.43
204, 0.45
205, 0.28
206, 0.40
207, 0.26
208, 0.33
209, 0.42
210, 0.62
211, 0.43
212, 0.55
213, 0.30
214, 0.47
215, 0.28
216, 0.53
217, 0.50
218, 0.43
219, 0.56
220, 0.50
221, 0.35
222, 0.59
223, 0.46
224, 0.60
225, 0.41
226, 0.70
227, 0.47
228, 0.48
229, 0.36
230, 0.55
231, 0.61
232, 0.31
233, 0.21
234, 0.38
235, 0.38
236, 0.31
237, 0.29
238, 0.44
239, 0.37
240, 0.26
241, 0.28
242, 0.39
243, 0.58
244, 0.27
245, 0.50
246, 0.52
247, 0.44
248, 0.46
249, 0.51
250, 0.46
251, 0.61
252, 0.37
253, 0.25
254, 0.33
255, 0.36
256, 0.70
257, 0.32
258, 0.46
259, 0.60
260, 0.40
261, 0.34
262, 0.38
263, 0.40
264, 0.47
265, 0.26
266, 0.33
267, 0.36
268, 0.52
269, 0.23
270, 0.31
271, 0.41
272, 0.44
273, 0.40
274, 0.49
275, 0.51
276, 0.36
277, 0.48
278, 0.42
279, 0.44
280, 0.41
281, 0.42
282, 0.42
283, 0.41
284, 0.44
285, 0.53
286, 0.34
287, 0.33
288, 0.27
289, 0.41
290, 0.57
291, 0.39
292, 0.45
293, 0.38
294, 0.40
295, 0.51
296, 0.31
297, 0.43
298, 0.58
299, 0.48
300, 0.34
301, 0.33
302, 0.45
303, 0.47
304, 0.30
305, 0.24
306, 0.32
307, 0.36
308, 0.36
309, 0.47
310, 0.34
311, 0.43
312, 0.42
313, 0.40
314, 0.61
315, 0.45
316, 0.43
317, 0.31
318, 0.38
319, 0.47
320, 0.40
321, 0.43
322, 0.29
323, 0.45
324, 0.28
325, 0.34
326, 0.47
327, 0.39
328, 0.39
329, 0.34
330, 0.61
331, 0.28
332, 0.48
333, 0.32
334, 0.44
335, 0.40
336, 0.38
337, 0.42
338, 0.37
339, 0.37
340, 0.54
341, 0.38
342, 0.43
343, 0.44
344, 0.31
345, 0.36
346, 0.34
347, 0.29
348, 0.34
349, 0.22
350, 0.36
351, 0.42
352, 0.35
353, 0.43
354, 0.31
355, 0.36
356, 0.41
357, 0.47
358, 0.45
359, 0.28
360, 0.44
361, 0.41
362, 0.35
363, 0.37
364, 0.28
365, 0.60
366, 0.40
367, 0.45
368, 0.51
369, 0.52
370, 0.47
371, 0.34
372, 0.52
373, 0.46
374, 0.46
375, 0.50
376, 0.59
377, 0.42
378, 0.40
379, 0.36
380, 0.62
381, 0.35
382, 0.39
383, 0.42
384, 0.52
385, 0.33
386, 0.30
387, 0.42
388, 0.39
389, 0.58
390, 0.48
391, 0.36
392, 0.39
393, 0.48
394, 0.46
395, 0.35
396, 0.37
397, 0.24
398, 0.39
399, 0.34
400, 0.43
401, 0.53
402, 0.49
403, 0.31
404, 0.46
405, 0.38
406, 0.38
407, 0.34
408, 0.38
409, 0.43
410, 0.33
411, 0.45
412, 0.42
413, 0.45
414, 0.40
415, 0.39
416, 0.32
417, 0.54
418, 0.23
419, 0.37
420, 0.51
421, 0.54
422, 0.41
423, 0.40
424, 0.48
425, 0.40
426, 0.41
427, 0.43
428, 0.44
429, 0.60
430, 0.40
431, 0.62
432, 0.32
433, 0.51
434, 0.32
435, 0.26
436, 0.59
437, 0.41
438, 0.55
439, 0.40
440, 0.38
441, 0.38
442, 0.42
443, 0.42
444, 0.38
445, 0.39
446, 0.44
447, 0.28
448, 0.30
449, 0.38
450, 0.70
451, 0.25
452, 0.42
453, 0.59
454, 0.44
455, 0.63
456, 0.48
457, 0.39
458, 0.36
459, 0.41
460, 0.38
461, 0.38
462, 0.29
463, 0.61
464, 0.26
465, 0.41
466, 0.59
467, 0.48
468, 0.35
469, 0.41
470, 0.46
471, 0.33
472, 0.47
473, 0.45
474, 0.36
475, 0.39
476, 0.29
477, 0.33
478, 0.36
479, 0.36
480, 0.41
481, 0.23
482, 0.28
483, 0.40
484, 0.62
485, 0.56
486, 0.33
487, 0.43
488, 0.43
489, 0.41
490, 0.24
491, 0.48
492, 0.32
493, 0.38
494, 0.31
495, 0.43
496, 0.50
497, 0.38
498, 0.61
499, 0.37
500, 0.29
501, 0.36
502, 0.66
503, 0.38
504, 0.39
505, 0.55
506, 0.37
507, 0.53
508, 0.35
509, 0.32
510, 0.30
511, 0.42
512, 0.31
513, 0.66
514, 0.36
515, 0.40
516, 0.40
517, 0.48
518, 0.67
519, 0.36
520, 0.42
521, 0.66
522, 0.45
523, 0.44
524, 0.46
525, 0.54
526, 0.67
527, 0.45
528, 0.33
529, 0.28
530, 0.37
531, 0.31
532, 0.31
533, 0.38
534, 0.47
535, 0.44
536, 0.46
537, 0.40
538, 0.35
539, 0.51
540, 0.44
541, 0.42
542, 0.33
543, 0.58
544, 0.39
545, 0.64
546, 0.36
547, 0.41
548, 0.30
549, 0.46
550, 0.31
551, 0.39
552, 0.42
553, 0.46
554, 0.36
555, 0.32
556, 0.48
557, 0.52
558, 0.43
559, 0.67
560, 0.39
561, 0.37
562, 0.40
563, 0.42
564, 0.45
565, 0.34
566, 0.40
567, 0.31
568, 0.48
569, 0.61
570, 0.31
571, 0.57
572, 0.16
573, 0.37
574, 0.51
575, 0.48
576, 0.40
577, 0.24
578, 0.29
579, 0.42
580, 0.46
581, 0.48
582, 0.41
583, 0.34
584, 0.38
585, 0.29
586, 0.26
587, 0.31
588, 0.55
589, 0.45
590, 0.69
591, 0.39
592, 0.46
593, 0.56
594, 0.55
595, 0.24
596, 0.42
597, 0.45
598, 0.34
599, 0.54
600, 0.50
601, 0.52
602, 0.41
603, 0.41
604, 0.46
605, 0.36
606, 0.39
607, 0.35
608, 0.39
609, 0.49
610, 0.50
611, 0.40
612, 0.46
613, 0.37
614, 0.43
615, 0.49
616, 0.53
617, 0.43
618, 0.70
619, 0.26
620, 0.35
621, 0.34
622, 0.58
623, 0.47
624, 0.27
625, 0.38
626, 0.17
627, 0.48
628, 0.42
629, 0.48
630, 0.32
631, 0.34
632, 0.55
633, 0.48
634, 0.52
635, 0.47
636, 0.59
637, 0.50
638, 0.27
639, 0.38
640, 0.20
641, 0.42
642, 0.38
643, 0.34
644, 0.38
645, 0.54
646, 0.45
647, 0.38
648, 0.32
649, 0.40
650, 0.49
651, 0.32
652, 0.52
653, 0.37
654, 0.51
655, 0.45
656, 0.47
657, 0.46
658, 0.23
659, 0.53
660, 0.57
661, 0.32
662, 0.37
663, 0.23
664, 0.49
665, 0.45
666, 0.50
667, 0.33
668, 0.43
669, 0.40
670, 0.37
671, 0.45
672, 0.50
673, 0.48
674, 0.39
675, 0.36
676, 0.53
677, 0.32
678, 0.33
679, 0.47
680, 0.44
681, 0.44
682, 0.38
683, 0.40
684, 0.28
685, 0.46
686, 0.28
687, 0.24
688, 0.39
689, 0.28
690, 0.27
691, 0.61
692, 0.38
693, 0.36
694, 0.47
695, 0.39
696, 0.36
697, 0.34
698, 0.70
699, 0.31
700, 0.45
701, 0.44
702, 0.60
703, 0.48
704, 0.52
705, 0.54
706, 0.42
707, 0.31
708, 0.55
709, 0.45
710, 0.53
711, 0.47
712, 0.31
713, 0.33
714, 0.29
715, 0.43
716, 0.54
717, 0.56
718, 0.52
719, 0.59
720, 0.46
721, 0.31
722, 0.42
723, 0.39
724, 0.31
725, 0.39
726, 0.48
727, 0.37
728, 0.41
729, 0.32
730, 0.31
731, 0.60
732, 0.49
733, 0.28
734, 0.51
735, 0.50
736, 0.28
737, 0.34
738, 0.51
739, 0.55
740, 0.40
741, 0.42
742, 0.51
743, 0.49
744, 0.43
745, 0.45
746, 0.57
747, 0.42
748, 0.42
749, 0.36
750, 0.25
751, 0.49
752, 0.33
753, 0.42
754, 0.42
755, 0.37
756, 0.53
757, 0.70
758, 0.46
759, 0.23
760, 0.55
761, 0.38
762, 0.32
763, 0.63
764, 0.36
765, 0.39
766, 0.66
767, 0.27
768, 0.45
769, 0.39
770, 0.42
771, 0.42
772, 0.36
773, 0.32
774, 0.47
775, 0.40
776, 0.47
777, 0.49
778, 0.37
779, 0.25
780, 0.63
781, 0.51
782, 0.37
783, 0.34
784, 0.48
785, 0.44
786, 0.49
787, 0.35
788, 0.34
789, 0.41
790, 0.40
791, 0.50
792, 0.35
793, 0.45
794, 0.44
795, 0.45
796, 0.43
797, 0.49
798, 0.32
799, 0.37
800, 0.46
801, 0.43
802, 0.50
803, 0.37
804, 0.63
805, 0.37
806, 0.46
807, 0.38
808, 0.36
809, 0.46
810, 0.45
811, 0.59
812, 0.39
813, 0.36
814, 0.43
815, 0.42
816, 0.44
817, 0.28
818, 0.42
819, 0.31
820, 0.65
821, 0.29
822, 0.33
823, 0.21
824, 0.43
825, 0.34
826, 0.18
827, 0.41
828, 0.48
829, 0.39
830, 0.33
831, 0.32
832, 0.60
833, 0.46
834, 0.45
835, 0.57
836, 0.41
837, 0.32
838, 0.45
839, 0.32
840, 0.28
841, 0.45
842, 0.24
843, 0.34
844, 0.48
845, 0.57
846, 0.47
847, 0.48
848, 0.36
849, 0.29
850, 0.44
851, 0.34
852, 0.48
853, 0.54
854, 0.29
855, 0.39
856, 0.36
857, 0.34
858, 0.40
859, 0.30
860, 0.22
861, 0.47
862, 0.44
863, 0.31
864, 0.33
865, 0.42
866, 0.35
867, 0.31
868, 0.33
869, 0.32
870, 0.36
871, 0.35
872, 0.65
873, 0.54
874, 0.38
875, 0.44
876, 0.31
877, 0.47
878, 0.40
879, 0.34
880, 0.39
881, 0.49
882, 0.42
883, 0.27
884, 0.40
885, 0.70
886, 0.50
887, 0.29
888, 0.68
889, 0.42
890, 0.71
891, 0.42
892, 0.33
893, 0.29
894, 0.18
895, 0.64
896, 0.45
897, 0.32
898, 0.54
899, 0.49
900, 0.44
901, 0.39
902, 0.26
903, 0.62
904, 0.53
905, 0.33
906, 0.59
907, 0.65
908, 0.42
909, 0.48
910, 0.41
911, 0.32
912, 0.44
913, 0.51
914, 0.63
915, 0.39
916, 0.51
917, 0.35
918, 0.36
919, 0.39
920, 0.43
921, 0.39
922, 0.53
923, 0.31
924, 0.42
925, 0.33
926, 0.25
927, 0.45
928, 0.40
929, 0.39
930, 0.45
931, 0.33
932, 0.44
933, 0.34
934, 0.41
935, 0.43
936, 0.42
937, 0.40
938, 0.56
939, 0.42
940, 0.49
941, 0.44
942, 0.39
943, 0.34
944, 0.22
945, 0.30
946, 0.60
947, 0.60
948, 0.61
949, 0.36
950, 0.54
951, 0.48
952, 0.61
953, 0.38
954, 0.30
955, 0.62
956, 0.33
957, 0.57
958, 0.49
959, 0.43
960, 0.49
961, 0.42
962, 0.31
963, 0.32
964, 0.50
965, 0.43
966, 0.49
967, 0.50
968, 0.34
969, 0.34
970, 0.41
971, 0.44
972, 0.25
973, 0.46
974, 0.46
975, 0.39
976, 0.40
977, 0.37
978, 0.37
979, 0.60
980, 0.43
981, 0.21
982, 0.36
983, 0.57
984, 0.34
985, 0.42
986, 0.42
987, 0.40
988, 0.64
989, 0.44
990, 0.69
991, 0.31
992, 0.44
993, 0.53
994, 0.41
995, 0.27
996, 0.36
997, 0.30
998, 0.55
999, 0.33
1000, 0.23
1001, 0.35
1002, 0.51
1003, 0.49
1004, 0.34
1005, 0.52
1006, 0.38
1007, 0.41
1008, 0.37
1009, 0.38
1010, 0.48
1011, 0.32
1012, 0.38
1013, 0.32
1014, 0.40
1015, 0.48
1016, 0.33
1017, 0.28
1018, 0.49
1019, 0.62
1020, 0.31
1021, 0.51
1022, 0.52
1023, 0.27
1024, 0.50
1025, 0.29
1026, 0.66
1027, 0.73
1028, 0.29
1029, 0.35
1030, 0.59
1031, 0.59
1032, 0.59
1033, 0.36
1034, 0.36
1035, 0.41
1036, 0.32
1037, 0.35
1038, 0.37
1039, 0.38
1040, 0.47
1041, 0.53
1042, 0.42
1043, 0.31
1044, 0.59
1045, 0.31
1046, 0.46
1047, 0.44
1048, 0.38
1049, 0.40
1050, 0.33
1051, 0.18
1052, 0.35
1053, 0.31
1054, 0.47
1055, 0.37
1056, 0.54
1057, 0.35
1058, 0.45
1059, 0.39
1060, 0.52
1061, 0.35
1062, 0.56
1063, 0.36
1064, 0.27
1065, 0.35
1066, 0.48
1067, 0.31
1068, 0.46
1069, 0.63
1070, 0.33
1071, 0.48
1072, 0.37
1073, 0.60
1074, 0.60
1075, 0.37
1076, 0.40
1077, 0.46
1078, 0.59
1079, 0.45
1080, 0.38
1081, 0.63
1082, 0.55
1083, 0.45
1084, 0.52
1085, 0.40
1086, 0.43
1087, 0.28
1088, 0.56
1089, 0.54
1090, 0.40
1091, 0.49
1092, 0.59
1093, 0.47
1094, 0.41
1095, 0.57
1096, 0.48
1097, 0.30
1098, 0.39
1099, 0.32
1100, 0.30
1101, 0.32
1102, 0.29
1103, 0.50
1104, 0.54
1105, 0.45
1106, 0.32
1107, 0.38
1108, 0.45
1109, 0.54
1110, 0.44
1111, 0.66
1112, 0.37
1113, 0.44
1114, 0.33
1115, 0.38
1116, 0.36
1117, 0.27
1118, 0.39
1119, 0.45
1120, 0.27
1121, 0.50
1122, 0.32
1123, 0.45
1124, 0.25
1125, 0.49
1126, 0.39
1127, 0.32
1128, 0.53
1129, 0.59
1130, 0.38
1131, 0.46
1132, 0.34
1133, 0.26
1134, 0.27
1135, 0.30
1136, 0.48
1137, 0.33
1138, 0.55
1139, 0.30
1140, 0.41
1141, 0.38
1142, 0.57
1143, 0.45
1144, 0.47
1145, 0.53
1146, 0.44
1147, 0.31
1148, 0.50
1149, 0.23
1150, 0.43
1151, 0.27
1152, 0.37
1153, 0.48
1154, 0.44
1155, 0.45
1156, 0.64
1157, 0.32
1158, 0.44
1159, 0.37
1160, 0.49
1161, 0.41
1162, 0.36
1163, 0.49
1164, 0.26
1165, 0.48
1166, 0.53
1167, 0.21
1168, 0.34
1169, 0.46
1170, 0.34
1171, 0.37
1172, 0.37
1173, 0.29
1174, 0.41
1175, 0.43
1176, 0.37
1177, 0.37
1178, 0.46
1179, 0.29
1180, 0.37
1181, 0.38
1182, 0.27
1183, 0.36
1184, 0.37
1185, 0.50
1186, 0.65
1187, 0.46
1188, 0.34
1189, 0.57
1190, 0.24
1191, 0.51
1192, 0.27
1193, 0.37
1194, 0.25
1195, 0.48
1196, 0.41
1197, 0.51
1198, 0.27
1199, 0.41
1200, 0.47
1201, 0.55
1202, 0.46
1203, 0.28
1204, 0.37
1205, 0.40
1206, 0.41
1207, 0.58
1208, 0.31
1209, 0.29
1210, 0.42
1211, 0.44
1212, 0.39
1213, 0.24
1214, 0.47
1215, 0.52
1216, 0.34
1217, 0.44
1218, 0.40
1219, 0.50
1220, 0.49
1221, 0.23
1222, 0.45
1223, 0.39
1224, 0.41
1225, 0.56
1226, 0.41
1227, 0.39
1228, 0.45
1229, 0.58
1230, 0.56
1231, 0.42
1232, 0.39
1233, 0.39
1234, 0.30
1235, 0.34
1236, 0.39
1237, 0.68
1238, 0.36
1239, 0.40
1240, 0.51
1241, 0.35
1242, 0.48
1243, 0.41
1244, 0.43
1245, 0.56
1246, 0.36
1247, 0.43
1248, 0.31
1249, 0.42
1250, 0.37
1251, 0.39
1252, 0.41
1253, 0.39
1254, 0.33
1255, 0.36
1256, 0.42
1257, 0.56
1258, 0.43
1259, 0.56
1260, 0.21
1261, 0.40
1262, 0.36
1263, 0.64
1264, 0.37
1265, 0.30
1266, 0.50
1267, 0.44
1268, 0.26
1269, 0.36
1270, 0.59
1271, 0.56
1272, 0.53
1273, 0.43
1274, 0.50
1275, 0.39
1276, 0.36
1277, 0.44
1278, 0.42
1279, 0.52
1280, 0.39
1281, 0.44
1282, 0.31
1283, 0.42
1284, 0.55
1285, 0.37
1286, 0.45
1287, 0.53
1288, 0.56
1289, 0.22
1290, 0.53
1291, 0.41
1292, 0.25
1293, 0.29
1294, 0.52
1295, 0.57
1296, 0.52
1297, 0.28
1298, 0.42
1299, 0.32
1300, 0.40
1301, 0.50
1302, 0.50
1303, 0.37
1304, 0.45
1305, 0.38
1306, 0.42
1307, 0.33
1308, 0.48
1309, 0.27
1310, 0.29
1311, 0.45
1312, 0.45
1313, 0.39
1314, 0.50
1315, 0.47
1316, 0.48
1317, 0.35
1318, 0.34
1319, 0.34
1320, 0.31
1321, 0.30
1322, 0.32
1323, 0.53
1324, 0.56
1325, 0.40
1326, 0.39
1327, 0.50
1328, 0.48
1329, 0.41
1330, 0.56
1331, 0.47
1332, 0.42
1333, 0.31
1334, 0.32
1335, 0.47
1336, 0.32
1337, 0.43
1338, 0.44
1339, 0.45
1340, 0.23
1341, 0.26
1342, 0.39
1343, 0.61
1344, 0.38
1345, 0.50
1346, 0.38
1347, 0.53
1348, 0.39
1349, 0.27
1350, 0.32
1351, 0.55
1352, 0.53
1353, 0.38
1354, 0.70
1355, 0.32
1356, 0.43
1357, 0.38
1358, 0.33
1359, 0.37
1360, 0.40
1361, 0.47
1362, 0.43
1363, 0.26
1364, 0.30
1365, 0.33
1366, 0.28
1367, 0.32
1368, 0.45
1369, 0.43
1370, 0.47
1371, 0.54
1372, 0.31
1373, 0.42
1374, 0.37
1375, 0.37
1376, 0.49
1377, 0.36
1378, 0.34
1379, 0.44
1380, 0.43
1381, 0.39
1382, 0.50
1383, 0.43
1384, 0.38
1385, 0.45
1386, 0.44
1387, 0.27
1388, 0.39
1389, 0.40
1390, 0.41
1391, 0.31
1392, 0.44
1393, 0.46
1394, 0.33
1395, 0.36
1396, 0.60
1397, 0.41
1398, 0.23
1399, 0.47
1400, 0.54
1401, 0.42
1402, 0.49
1403, 0.53
1404, 0.49
1405, 0.52
1406, 0.47
1407, 0.57
1408, 0.42
1409, 0.46
1410, 0.41
1411, 0.21
1412, 0.32
1413, 0.30
1414, 0.24
1415, 0.32
1416, 0.33
1417, 0.23
1418, 0.34
1419, 0.69
1420, 0.51
1421, 0.40
1422, 0.56
1423, 0.34
1424, 0.27
1425, 0.40
1426, 0.32
1427, 0.66
1428, 0.33
1429, 0.50
1430, 0.49
1431, 0.38
1432, 0.45
1433, 0.35
1434, 0.44
1435, 0.67
1436, 0.56
1437, 0.43
1438, 0.45
1439, 0.42
1440, 0.29
1441, 0.55
1442, 0.51
1443, 0.38
1444, 0.47
1445, 0.39
1446, 0.50
1447, 0.38
1448, 0.47
1449, 0.42
1450, 0.37
1451, 0.50
1452, 0.35
1453, 0.32
1454, 0.56
1455, 0.28
1456, 0.53
1457, 0.53
1458, 0.38
1459, 0.40
1460, 0.45
1461, 0.36
1462, 0.53
1463, 0.30
1464, 0.32
1465, 0.46
1466, 0.26
1467, 0.27
1468, 0.35
1469, 0.27
1470, 0.50
1471, 0.34
1472, 0.27
1473, 0.33
1474, 0.52
1475, 0.53
1476, 0.41
1477, 0.31
1478, 0.25
1479, 0.27
1480, 0.60
1481, 0.42
1482, 0.40
1483, 0.63
1484, 0.44
1485, 0.42
1486, 0.35
1487, 0.43
1488, 0.23
1489, 0.48
1490, 0.44
1491, 0.49
1492, 0.55
1493, 0.33
1494, 0.47
1495, 0.45
1496, 0.31
1497, 0.38
1498, 0.38
1499, 0.33
1500, 0.67
1501, 0.60
1502, 0.35
1503, 0.53
1504, 0.51
1505, 0.37
1506, 0.44
1507, 0.36
1508, 0.51
1509, 0.52
1510, 0.53
1511, 0.48
1512, 0.49
1513, 0.56
1514, 0.31
1515, 0.36
1516, 0.36
1517, 0.31
1518, 0.25
1519, 0.47
1520, 0.38
1521, 0.23
1522, 0.33
1523, 0.47
1524, 0.31
1525, 0.54
1526, 0.36
1527, 0.29
1528, 0.26
1529, 0.59
1530, 0.48
1531, 0.54
1532, 0.47
1533, 0.37
1534, 0.41
1535, 0.42
1536, 0.58
1537, 0.42
1538, 0.32
1539, 0.29
1540, 0.29
1541, 0.28
1542, 0.25
1543, 0.35
1544, 0.48
1545, 0.24
1546, 0.43
1547, 0.37
1548, 0.46
1549, 0.36
1550, 0.38
1551, 0.39
1552, 0.36
1553, 0.41
1554, 0.33
1555, 0.40
1556, 0.46
1557, 0.28
1558, 0.40
1559, 0.38
1560, 0.30
1561, 0.36
1562, 0.27
1563, 0.39
1564, 0.38
1565, 0.29
1566, 0.30
1567, 0.41
1568, 0.51
1569, 0.48
1570, 0.44
1571, 0.25
1572, 0.31
1573, 0.36
1574, 0.54
1575, 0.30
1576, 0.34
1577, 0.37
1578, 0.39
1579, 0.29
1580, 0.48
1581, 0.49
1582, 0.40
1583, 0.34
1584, 0.46
1585, 0.65
1586, 0.31
1587, 0.28
1588, 0.50
1589, 0.63
1590, 0.52
1591, 0.23
1592, 0.29
1593, 0.31
1594, 0.22
1595, 0.40
1596, 0.65
1597, 0.25
1598, 0.38
1599, 0.48
1600, 0.40
1601, 0.55
1602, 0.43
1603, 0.47
1604, 0.34
1605, 0.28
1606, 0.50
1607, 0.47
1608, 0.25
1609, 0.29
1610, 0.47
1611, 0.44
1612, 0.39
1613, 0.42
1614, 0.42
1615, 0.52
1616, 0.73
1617, 0.52
1618, 0.45
1619, 0.36
1620, 0.38
1621, 0.57
1622, 0.40
1623, 0.37
1624, 0.37
1625, 0.49
1626, 0.40
1627, 0.46
1628, 0.23
1629, 0.37
1630, 0.24
1631, 0.38
1632, 0.39
1633, 0.51
1634, 0.43
1635, 0.44
1636, 0.37
1637, 0.50
1638, 0.32
1639, 0.33
1640, 0.40
1641, 0.69
1642, 0.32
1643, 0.36
1644, 0.46
1645, 0.57
1646, 0.55
1647, 0.57
1648, 0.56
1649, 0.44
1650, 0.41
1651, 0.33
1652, 0.39
1653, 0.67
1654, 0.65
1655, 0.41
1656, 0.37
1657, 0.51
1658, 0.27
1659, 0.59
1660, 0.27
1661, 0.25
1662, 0.38
1663, 0.34
1664, 0.59
1665, 0.38
1666, 0.24
1667, 0.50
1668, 0.48
1669, 0.65
1670, 0.28
1671, 0.37
1672, 0.51
1673, 0.62
1674, 0.38
1675, 0.54
1676, 0.34
1677, 0.54
1678, 0.57
1679, 0.40
1680, 0.44
1681, 0.33
1682, 0.59
1683, 0.42
1684, 0.29
1685, 0.72
1686, 0.64
1687, 0.41
1688, 0.51
1689, 0.30
1690, 0.44
1691, 0.37
1692, 0.58
1693, 0.59
1694, 0.47
1695, 0.40
