ID,Prob1
0, 0.67
1, 0.43
2, 0.18
3, 0.06
4, 0.21
5, 0.21
6, 0.21
7, 0.26
8, 0.15
9, 0.31
10, 0.34
11, 0.27
12, 0.18
13, 0.51
14, 0.24
15, 0.43
16, 0.19
17, 0.67
18, 0.14
19, 0.24
20, 0.45
21, 0.31
22, 0.22
23, 0.27
24, 0.22
25, 0.47
26, 0.48
27, 0.18
28, 0.23
29, 0.24
30, 0.28
31, 0.29
32, 0.32
33, 0.32
34, 0.45
35, 0.30
36, 0.26
37, 0.19
38, 0.56
39, 0.30
40, 0.15
41, 0.50
42, 0.17
43, 0.35
44, 0.38
45, 0.31
46, 0.47
47, 0.36
48, 0.58
49, 0.41
50, 0.27
51, 0.32
52, 0.64
53, 0.14
54, 0.28
55, 0.21
56, 0.11
57, 0.35
58, 0.36
59, 0.22
60, 0.18
61, 0.18
62, 0.43
63, 0.38
64, 0.23
65, 0.19
66, 0.49
67, 0.31
68, 0.17
69, 0.58
70, 0.16
71, 0.23
72, 0.26
73, 0.31
74, 0.63
75, 0.30
76, 0.28
77, 0.39
78, 0.41
79, 0.21
80, 0.22
81, 0.63
82, 0.39
83, 0.36
84, 0.34
85, 0.35
86, 0.42
87, 0.50
88, 0.28
89, 0.22
90, 0.19
91, 0.24
92, 0.42
93, 0.64
94, 0.31
95, 0.25
96, 0.12
97, 0.31
98, 0.37
99, 0.13
100, 0.62
101, 0.32
102, 0.19
103, 0.35
104, 0.20
105, 0.43
106, 0.22
107, 0.55
108, 0.40
109, 0.26
110, 0.24
111, 0.36
112, 0.88
113, 0.14
114, 0.33
115, 0.17
116, 0.26
117, 0.53
118, 0.32
119, 0.21
120, 0.40
121, 0.47
122, 0.19
123, 0.39
124, 0.16
125, 0.49
126, 0.56
127, 0.61
128, 0.55
129, 0.68
130, 0.13
131, 0.21
132, 0.29
133, 0.42
134, 0.41
135, 0.54
136, 0.22
137, 0.65
138, 0.00
139, 0.55
140, 0.32
141, 0.19
142, 0.85
143, 0.10
144, 0.54
145, 0.25
146, 0.48
147, 0.40
148, 0.20
149, 0.16
150, 0.55
151, 0.70
152, 0.26
153, 0.35
154, 0.30
155, 0.19
156, 0.27
157, 0.32
158, 0.32
159, 0.52
160, 0.52
161, 0.25
162, 0.25
163, 0.31
164, 0.72
165, 0.21
166, 0.25
167, 0.24
168, 0.30
169, 0.21
170, 0.51
171, 0.43
172, 0.27
173, 0.34
174, 0.28
175, 0.16
176, 0.65
177, 0.26
178, 0.33
179, 0.26
180, 0.67
181, 0.12
182, 0.34
183, 0.22
184, 0.34
185, 0.22
186, 0.39
187, 0.15
188, 0.34
189, 0.16
190, 0.24
191, 0.55
192, 0.29
193, 0.49
194, 0.38
195, 0.41
196, 0.24
197, 0.28
198, 0.67
199, 0.46
200, 0.09
201, 0.39
202, 0.20
203, 0.44
204, 0.31
205, 0.14
206, 0.24
207, 0.07
208, 0.24
209, 0.35
210, 0.70
211, 0.32
212, 0.53
213, 0.08
214, 0.32
215, 0.09
216, 0.59
217, 0.52
218, 0.43
219, 0.64
220, 0.34
221, 0.22
222, 0.67
223, 0.56
224, 0.47
225, 0.28
226, 0.82
227, 0.48
228, 0.43
229, 0.25
230, 0.60
231, 0.69
232, 0.27
233, 0.12
234, 0.21
235, 0.36
236, 0.21
237, 0.04
238, 0.23
239, 0.25
240, 0.23
241, 0.14
242, 0.34
243, 0.60
244, 0.14
245, 0.42
246, 0.51
247, 0.33
248, 0.38
249, 0.51
250, 0.38
251, 0.63
252, 0.26
253, 0.05
254, 0.28
255, 0.36
256, 0.80
257, 0.22
258, 0.46
259, 0.75
260, 0.29
261, 0.20
262, 0.34
263, 0.28
264, 0.41
265, 0.13
266, 0.23
267, 0.22
268, 0.36
269, 0.02
270, 0.18
271, 0.33
272, 0.34
273, 0.32
274, 0.43
275, 0.41
276, 0.24
277, 0.30
278, 0.38
279, 0.44
280, 0.24
281, 0.31
282, 0.28
283, 0.25
284, 0.42
285, 0.49
286, 0.21
287, 0.18
288, 0.09
289, 0.21
290, 0.64
291, 0.26
292, 0.26
293, 0.23
294, 0.33
295, 0.38
296, 0.27
297, 0.33
298, 0.67
299, 0.53
300, 0.20
301, 0.18
302, 0.47
303, 0.38
304, 0.18
305, 0.10
306, 0.17
307, 0.19
308, 0.23
309, 0.28
310, 0.28
311, 0.33
312, 0.28
313, 0.30
314, 0.64
315, 0.46
316, 0.25
317, 0.21
318, 0.29
319, 0.49
320, 0.23
321, 0.25
322, 0.15
323, 0.28
324, 0.13
325, 0.17
326, 0.27
327, 0.32
328, 0.37
329, 0.44
330, 0.71
331, 0.23
332, 0.45
333, 0.19
334, 0.51
335, 0.33
336, 0.28
337, 0.28
338, 0.31
339, 0.26
340, 0.48
341, 0.31
342, 0.27
343, 0.27
344, 0.12
345, 0.21
346, 0.18
347, 0.18
348, 0.23
349, 0.05
350, 0.38
351, 0.27
352, 0.26
353, 0.30
354, 0.15
355, 0.24
356, 0.46
357, 0.44
358, 0.26
359, 0.13
360, 0.38
361, 0.37
362, 0.23
363, 0.21
364, 0.14
365, 0.74
366, 0.13
367, 0.33
368, 0.31
369, 0.51
370, 0.49
371, 0.30
372, 0.61
373, 0.33
374, 0.35
375, 0.46
376, 0.68
377, 0.34
378, 0.18
379, 0.26
380, 0.65
381, 0.19
382, 0.27
383, 0.30
384, 0.47
385, 0.19
386, 0.19
387, 0.23
388, 0.22
389, 0.60
390, 0.38
391, 0.21
392, 0.30
393, 0.33
394, 0.43
395, 0.24
396, 0.31
397, 0.11
398, 0.29
399, 0.22
400, 0.27
401, 0.43
402, 0.52
403, 0.12
404, 0.38
405, 0.26
406, 0.20
407, 0.27
408, 0.23
409, 0.44
410, 0.23
411, 0.35
412, 0.37
413, 0.55
414, 0.27
415, 0.31
416, 0.18
417, 0.49
418, 0.13
419, 0.36
420, 0.57
421, 0.60
422, 0.31
423, 0.26
424, 0.29
425, 0.27
426, 0.29
427, 0.15
428, 0.26
429, 0.72
430, 0.34
431, 0.80
432, 0.16
433, 0.49
434, 0.23
435, 0.19
436, 0.50
437, 0.28
438, 0.51
439, 0.30
440, 0.23
441, 0.25
442, 0.30
443, 0.33
444, 0.28
445, 0.27
446, 0.30
447, 0.14
448, 0.23
