ID,Prob1
0, 0.78
1, 0.54
2, 0.25
3, 0.01
4, 0.23
5, 0.16
6, 0.22
7, 0.45
8, 0.01
9, 0.11
10, 0.45
11, 0.23
12, 0.51
13, 0.32
14, 0.22
15, 0.37
16, 0.17
17, 0.85
18, 0.09
19, 0.30
20, 0.45
21, 0.35
22, 0.23
23, 0.29
24, 0.34
25, 0.72
26, 0.67
27, 0.19
28, 0.09
29, 0.28
30, 0.49
31, 0.23
32, 0.49
33, 0.24
34, 0.50
35, 0.38
36, 0.22
37, 0.14
38, 0.42
39, 0.36
40, 0.08
41, 0.54
42, 0.13
43, 0.11
44, 0.51
45, 0.14
46, 0.34
47, 0.28
48, 0.71
49, 0.51
50, 0.36
51, 0.21
52, 0.81
53, 0.09
54, 0.24
55, 0.21
56, 0.07
57, 0.45
58, 0.27
59, 0.18
60, 0.17
61, 0.12
62, 0.40
63, 0.47
64, 0.08
65, 0.09
66, 0.48
67, 0.34
68, 0.10
69, 0.63
70, 0.00
71, 0.10
72, 0.24
73, 0.44
74, 0.80
75, 0.31
76, 0.22
77, 0.36
78, 0.36
79, 0.12
80, 0.10
81, 0.67
82, 0.53
83, 0.31
84, 0.39
85, 0.46
86, 0.63
87, 0.65
88, 0.26
89, 0.08
90, 0.21
91, 0.28
92, 0.71
93, 0.78
94, 0.51
95, 0.26
96, 0.05
97, 0.28
98, 0.68
99, 0.13
100, 0.56
101, 0.54
102, 0.12
103, 0.59
104, 0.09
105, 0.32
106, 0.35
107, 0.76
108, 0.29
109, 0.24
110, 0.12
111, 0.43
112, 0.93
113, 0.16
114, 0.28
115, 0.14
116, 0.10
117, 0.33
118, 0.05
119, 0.13
120, 0.51
121, 0.44
122, 0.20
123, 0.46
124, 0.02
125, 0.48
126, 0.47
127, 0.53
128, 0.81
129, 0.80
130, 0.12
131, 0.06
132, 0.49
133, 0.54
134, 0.64
135, 0.78
136, 0.26
137, 0.97
138, 0.00
139, 0.73
140, 0.30
141, 0.18
142, 0.85
143, 0.04
144, 0.55
145, 0.21
146, 0.57
147, 0.33
148, 0.24
149, 0.04
150, 0.67
151, 0.59
152, 0.14
153, 0.58
154, 0.16
155, 0.11
156, 0.43
157, 0.20
158, 0.44
159, 0.64
160, 0.47
161, 0.19
162, 0.21
163, 0.24
164, 0.91
165, 0.25
166, 0.26
167, 0.54
168, 0.31
169, 0.12
170, 0.26
171, 0.42
172, 0.22
173, 0.29
