ID,Prob1
0, 0.78
1, 0.67
2, 0.44
3, 0.00
4, 0.11
5, 0.22
6, 0.11
7, 0.44
8, 0.00
9, 0.33
10, 0.44
11, 0.00
12, 0.33
13, 0.67
14, 0.11
15, 0.44
16, 0.22
17, 0.78
18, 0.00
19, 0.44
20, 0.44
21, 0.56
22, 0.11
23, 0.33
24, 0.22
25, 0.44
26, 0.67
27, 0.22
28, 0.00
29, 0.33
30, 0.56
31, 0.11
32, 0.33
33, 0.22
34, 0.44
35, 0.11
36, 0.22
37, 0.22
38, 0.22
39, 0.11
40, 0.00
41, 0.67
42, 0.22
43, 0.11
44, 0.44
45, 0.00
46, 0.44
47, 0.33
48, 0.78
49, 0.67
50, 0.44
51, 0.44
52, 0.67
53, 0.00
54, 0.44
55, 0.22
56, 0.00
57, 0.67
58, 0.22
59, 0.00
60, 0.11
61, 0.22
62, 0.33
63, 0.67
64, 0.33
65, 0.00
66, 0.33
67, 0.22
68, 0.00
69, 0.44
70, 0.00
71, 0.11
72, 0.22
73, 0.33
74, 0.44
75, 0.33
76, 0.22
77, 0.22
78, 0.44
79, 0.00
80, 0.00
81, 0.67
82, 0.22
83, 0.33
84, 0.33
85, 0.22
86, 0.67
87, 0.22
88, 0.22
89, 0.22
90, 0.11
91, 0.33
92, 0.78
93, 0.89
94, 0.56
95, 0.11
96, 0.00
97, 0.33
98, 0.44
99, 0.11
100, 0.33
101, 0.33
102, 0.22
103, 0.89
104, 0.00
105, 0.33
106, 0.44
107, 0.44
108, 0.11
109, 0.44
110, 0.11
111, 0.56
112, 0.78
113, 0.44
114, 0.22
115, 0.11
116, 0.11
117, 0.44
118, 0.00
119, 0.44
120, 0.44
121, 0.78
122, 0.11
123, 0.44
124, 0.00
125, 0.56
126, 0.56
127, 0.44
128, 0.67
129, 0.89
130, 0.00
131, 0.33
132, 0.33
133, 0.33
134, 0.78
135, 1.00
136, 0.22
137, 0.44
138, 0.00
139, 0.56
140, 0.33
141, 0.22
142, 0.78
143, 0.11
144, 0.11
145, 0.22
146, 0.78
147, 0.33
148, 0.33
149, 0.11
150, 0.56
151, 0.78
152, 0.11
153, 0.67
154, 0.22
155, 0.22
156, 0.33
157, 0.33
158, 0.44
159, 0.89
160, 0.78
161, 0.22
162, 0.22
163, 0.11
164, 1.00
165, 0.44
166, 0.11
167, 0.78
168, 0.33
169, 0.44
170, 0.33
171, 0.22
172, 0.33
173, 0.11
174, 0.33
175, 0.11
176, 0.33
177, 0.33
178, 0.33
179, 0.89
180, 0.22
181, 0.00
182, 0.00
183, 0.22
184, 0.44
185, 0.11
186, 0.78
187, 0.44
188, 0.67
189, 0.22
190, 0.00
191, 0.67
192, 0.44
193, 0.44
194, 0.33
195, 0.22
196, 0.78
197, 0.00
198, 0.89
199, 0.78
200, 0.22
201, 0.78
202, 0.11
203, 0.11
204, 0.44
205, 0.00
206, 0.11
207, 0.00
208, 0.22
209, 0.33
210, 0.78
211, 0.22
212, 0.44
213, 0.44
214, 0.56
215, 0.11
216, 0.56
217, 0.56
218, 0.33
219, 0.78
220, 0.67
221, 0.22
222, 0.67
223, 0.33
224, 0.89
225, 0.56
226, 1.00
227, 0.67
228, 0.11
229, 0.00
230, 0.78
231, 0.78
232, 0.00
233, 0.00
234, 0.33
235, 0.67
236, 0.22
237, 0.00
238, 0.44
239, 0.11
240, 0.22
241, 0.33
242, 0.33
243, 0.67
244, 0.00
245, 0.67
246, 0.33
247, 0.33
248, 0.56
249, 0.33
250, 0.33
251, 0.67
252, 0.22
253, 0.00
254, 0.11
255, 0.56
256, 1.00
257, 0.44
258, 0.11
259, 0.67
260, 0.22
261, 0.00
262, 0.00
263, 0.00
264, 0.33
265, 0.22
266, 0.00
267, 0.22
268, 0.67
269, 0.11
270, 0.00
271, 0.44
272, 0.33
273, 0.22
274, 0.22
275, 0.78
276, 0.44
277, 0.78
278, 0.11
279, 0.33
280, 0.11
281, 0.33
282, 0.33
283, 0.56
284, 0.44
285, 0.33
286, 0.22
287, 0.11
288, 0.11
289, 0.11
290, 0.89
291, 0.22
292, 0.44
293, 0.11
294, 0.44
295, 0.56
296, 0.00
297, 0.22
298, 0.56
299, 0.56
300, 0.33
301, 0.11
302, 0.67
303, 0.44
304, 0.33
305, 0.00
306, 0.00
307, 0.11
308, 0.00
309, 0.33
310, 0.00
311, 0.33
312, 0.33
313, 0.33
314, 0.78
315, 0.22
316, 0.44
317, 0.00
318, 0.11
319, 0.78
320, 0.11
321, 0.44
322, 0.44
323, 0.67
324, 0.00
325, 0.22
326, 0.56
327, 0.44
328, 0.22
329, 0.67
330, 0.89
331, 0.00
332, 0.44
333, 0.11
334, 0.44
335, 0.11
336, 0.22
337, 0.00
338, 0.11
339, 0.00
340, 0.67
341, 0.00
342, 0.11
343, 0.44
344, 0.00
345, 0.22
346, 0.00
347, 0.00
348, 0.22
349, 0.00
350, 0.00
351, 0.22
352, 0.11
353, 0.22
354, 0.22
355, 0.22
356, 0.00
357, 0.22
358, 0.22
359, 0.33
360, 0.33
361, 0.00
362, 0.22
363, 0.11
364, 0.22
365, 0.89
366, 0.22
367, 0.33
368, 0.56
369, 0.56
370, 0.44
371, 0.11
372, 0.78
373, 0.33
374, 0.78
375, 0.33
376, 0.67
377, 0.11
378, 0.56
379, 0.00
380, 0.44
381, 0.00
382, 0.33
383, 0.33
384, 0.56
385, 0.33
386, 0.11
387, 0.22
388, 0.33
389, 0.78
390, 0.56
391, 0.00
392, 0.22
393, 0.33
394, 0.56
395, 0.00
396, 0.00
397, 0.00
398, 0.44
399, 0.00
400, 0.11
401, 0.44
402, 0.67
403, 0.11
404, 0.33
405, 0.11
406, 0.33
407, 0.11
408, 0.00
409, 0.44
410, 0.00
411, 0.44
412, 0.33
413, 0.44
414, 0.22
415, 0.00
416, 0.11
417, 0.56
418, 0.00
419, 0.11
420, 0.67
421, 0.44
422, 0.44
423, 0.44
424, 0.56
425, 0.00
426, 0.00
427, 0.67
428, 0.00
429, 0.67
430, 0.22
431, 0.89
432, 0.44
433, 0.11
434, 0.11
435, 0.00
436, 0.56
437, 0.22
438, 0.44
439, 0.44
440, 0.33
441, 0.33
442, 0.44
443, 0.56
444, 0.56
445, 0.22
446, 0.33
447, 0.22
448, 0.11
449, 0.33
450, 0.89
451, 0.11
452, 0.11
453, 0.78
454, 0.56
455, 1.00
456, 0.78
457, 0.22
458, 0.22
459, 0.44
460, 0.44
461, 0.33
462, 0.11
463, 0.78
464, 0.11
465, 0.11
466, 0.89
467, 0.22
468, 0.44
469, 0.22
470, 0.00
471, 0.11
472, 0.44
473, 0.44
474, 0.11
475, 0.56
476, 0.00
477, 0.56
478, 0.56
479, 0.22
480, 0.22
481, 0.00
482, 0.00
483, 0.44
484, 0.78
485, 0.56
486, 0.78
487, 0.44
488, 0.33
489, 0.33
490, 0.33
491, 0.44
492, 0.22
493, 0.22
494, 0.00
495, 0.22
496, 0.56
497, 0.22
498, 1.00
