ID,Prob1
0, 0.73
1, 0.38
2, 0.20
3, 0.10
4, 0.21
5, 0.19
6, 0.28
7, 0.31
8, 0.06
9, 0.25
10, 0.34
11, 0.23
12, 0.35
13, 0.55
14, 0.27
15, 0.35
16, 0.28
17, 0.76
18, 0.04
19, 0.27
20, 0.91
21, 0.40
22, 0.24
23, 0.33
24, 0.23
25, 0.65
26, 0.58
27, 0.24
28, 0.23
29, 0.27
30, 0.39
31, 0.31
32, 0.24
33, 0.34
34, 0.49
35, 0.26
36, 0.25
37, 0.22
38, 0.49
39, 0.27
40, 0.16
41, 0.64
42, 0.27
43, 0.34
44, 0.46
45, 0.18
46, 0.44
47, 0.30
48, 0.76
49, 0.44
50, 0.25
51, 0.22
52, 0.63
53, 0.08
54, 0.30
55, 0.25
56, 0.12
57, 0.36
58, 0.35
59, 0.16
60, 0.17
61, 0.23
62, 0.37
63, 0.43
64, 0.28
65, 0.18
66, 0.25
67, 0.26
68, 0.16
69, 0.52
70, 0.11
71, 0.23
72, 0.33
73, 0.32
74, 0.79
75, 0.41
76, 0.23
77, 0.29
78, 0.36
79, 0.16
80, 0.14
81, 0.46
82, 0.47
83, 0.34
84, 0.36
85, 0.28
86, 0.61
87, 0.51
88, 0.30
89, 0.08
90, 0.23
91, 0.21
92, 0.51
93, 0.72
94, 0.43
95, 0.17
96, 0.01
97, 0.35
98, 0.42
99, 0.28
100, 0.66
101, 0.53
102, 0.24
103, 0.43
104, 0.19
105, 0.36
106, 0.28
107, 0.75
108, 0.42
109, 0.24
110, 0.21
111, 0.34
112, 0.85
113, 0.19
114, 0.32
115, 0.23
116, 0.17
117, 0.46
118, 0.12
119, 0.31
120, 0.48
121, 0.40
122, 0.23
123, 0.26
124, 0.04
125, 0.43
126, 0.44
127, 0.49
128, 0.56
129, 0.74
130, 0.15
131, 0.21
132, 0.29
133, 0.47
134, 0.55
135, 0.85
136, 0.28
137, 0.73
138, 0.14
139, 0.52
140, 0.28
141, 0.21
142, 0.67
143, 0.16
144, 0.44
145, 0.26
146, 0.58
147, 0.37
148, 0.22
149, 0.17
150, 0.34
151, 0.69
152, 0.23
153, 0.52
154, 0.23
155, 0.22
156, 0.31
157, 0.24
158, 0.28
159, 0.50
160, 0.49
161, 0.23
162, 0.29
163, 0.28
164, 0.84
165, 0.20
166, 0.31
167, 0.28
168, 0.33
169, 0.25
170, 0.42
171, 0.38
172, 0.33
173, 0.33
174, 0.31
175, 0.21
176, 0.58
177, 0.21
178, 0.32
179, 0.43
180, 0.53
181, 0.11
182, 0.28
183, 0.21
184, 0.25
185, 0.18
186, 0.43
187, 0.26
188, 0.33
189, 0.21
190, 0.21
191, 0.32
192, 0.33
193, 0.49
194, 0.39
195, 0.43
196, 0.37
197, 0.28
198, 0.57
199, 0.57
200, 0.14
201, 0.39
202, 0.13
203, 0.36
204, 0.29
205, 0.14
206, 0.25
207, 0.08
208, 0.25
209, 0.26
210, 0.54
211, 0.35
212, 0.59
213, 0.27
214, 0.39
215, 0.17
216, 0.70
217, 0.48
218, 0.37
219, 0.74
220, 0.48
221, 0.22
222, 0.46
223, 0.47
224, 0.62
225, 0.43
226, 0.83
227, 0.67
228, 0.45
229, 0.08
230, 0.65
231, 0.79
232, 0.18
233, 0.11
234, 0.22
235, 0.33
236, 0.18
237, 0.08
238, 0.29
239, 0.25
240, 0.23
241, 0.17
242, 0.27
243, 0.78
244, 0.16
245, 0.46
246, 0.47
247, 0.35
248, 0.48
249, 0.51
250, 0.35
251, 0.67
252, 0.24
253, 0.17
254, 0.22
255, 0.40
256, 0.86
257, 0.17
258, 0.30
259, 0.71
260, 0.22
261, 0.13
262, 0.22
263, 0.27
264, 0.29
265, 0.18
266, 0.17
267, 0.45
268, 0.45
269, 0.33
270, 0.19
271, 0.35
272, 0.37
273, 0.23
274, 0.41
275, 0.46
276, 0.27
277, 0.36
278, 0.44
279, 0.29
280, 0.31
281, 0.27
282, 0.33
283, 0.29
284, 0.36
285, 0.45
286, 0.21
287, 0.15
288, 0.07
289, 0.28
290, 0.96
291, 0.24
292, 0.36
293, 0.19
294, 0.30
295, 0.48
296, 0.24
297, 0.25
298, 0.54
299, 0.34
300, 0.22
301, 0.20
302, 0.47
303, 0.39
304, 0.17
305, 0.15
306, 0.17
307, 0.20
308, 0.22
309, 0.32
310, 0.16
311, 0.32
312, 0.20
313, 0.35
314, 0.77
315, 0.42
316, 0.25
317, 0.13
318, 0.24
319, 0.41
320, 0.22
321, 0.35
322, 0.18
323, 0.37
324, 0.17
325, 0.19
326, 0.39
327, 0.41
328, 0.23
329, 0.66
330, 0.78
331, 0.17
332, 0.44
333, 0.18
334, 0.43
335, 0.32
336, 0.25
337, 0.33
338, 0.29
339, 0.23
340, 0.54
341, 0.22
342, 0.38
343, 0.28
344, 0.05
345, 0.21
346, 0.23
347, 0.20
348, 0.18
349, 0.02
350, 0.26
351, 0.29
352, 0.24
353, 0.30
354, 0.19
355, 0.24
356, 0.33
357, 0.41
358, 0.31
359, 0.25
360, 0.35
361, 0.21
362, 0.30
363, 0.23
364, 0.20
365, 0.72
366, 0.32
367, 0.32
368, 0.40
369, 0.55
370, 0.48
371, 0.20
372, 0.59
